"IDcategIng";"Categoria"
1;"   Sin definir"
2;"Carnes/aves"
3;"Verduras/frutas"
4;"Lácteos"
5;"Pastas/arroces"
6;"Especias/condimentos"
7;"Conservas"
8;"Panes"
9;"Galletitas"
10;"Aderezos"
11;"Aceites/vinagres"
12;"Bebidas c/alcohol"
13;"Bebidas s/alcohol"
14;"Varios"
18;"Encurtidos"
19;"Fiambres"
20;"Esencias/aromas"
21;"Frutas secas"
22;"Reposteria"
23;"Pescados/mariscos"
24;"Azúcares"
25;"Harinas"
26;"Mermeladas/dulces"
27;"Infusiones"
28;"Helados"
29;"Gelatinas/extractos"
30;"Sopas/caldos"
31;"Conservantes/otros"
32;"Tapas y Pinchos"
