IDEquivalencia;Equivalencia;IDMedida
4;200 CC de líquido;1
5;200 gramos de azúcar;1
6;160 gramos de azúcar negra;1
7;200 gramos de manteca;1
8;100 gramos de maicena;1
9;200 gramos de arroz blanco;1
10;120 gramos de harina;1
11;13 cucharadas;1
12;15 gramos de azúcar;2
13;13 gramos de azúcar negra;2
14;25 gramos de miel;2
15;15 gramos de manteca;2
16;10 gramos de harina;2
17;8 gramos de maicena;2
18;20 gramos de sal gruesa;2
19;15 gramos de aceite;2
20;10 gramos de queso rallado;2
21;3 cucharaditas de té;2
22;5 gramos de sal;3
23;8 gramos de miel;3
24;5 gramos de aceite;3
25;1000 CC;4
26;100 CL;4
27;5 tazas;4
28;20 ml de líquido;10
29;250g de guarnición de papas;9
30;200g de legumbres frescas;9
31;100g de ensalada verde;9
32;250g de carne con hueso;9
33;150g de carne sin hueso;9
34;250g de pescado entero;9
35;150g de filete;9
36;80g de queso;9
37;80g de espagueti;9
38;40g de arroz;9
39;15 ml;2
40;15 gramos de café;2
41;15 gramos de arroz;2
42;4 gramos de levadura en polvo;3
43;3 gramos de especias;3
44;50 gramos de pan rallado;1
45;454 gramos;11
46;3,8 litros;12
47;35,3 gramos;13
48;0,26 galones;4
49;2,2 libras;5
50;28,3 onzas;5
51;130 gramos de queso rallado;1
