"IDunidad";"Unidad"
1;"Cucharaditas"
2;"Cucharadas"
3;"Gramos"
4;"Kilos"
5;"Pizca"
6;"Tazas"
7;"Unidades"
8;"Cant. Necesaria"
9;"ml"
10;"Dientes"
11;"A gusto"
12;"Pocillos"
13;"Gotas"
14;"Gajos"
15;"Litros"
16;"Lata"
17;"Chaucha"
18;"Rodajas"
19;"Plantas"
20;"Hojas"
21;"Medida"
22;"CC."
23;"Porciones"
24;"Copitas"
25;"Ramitas"
26;"Fetas"
27;"Filetes"
28;"Nuez"
29;"Granos"
30;"Cubitos"
31;"Vasos"
32;"Cabeza"
33;"Chorro"
34;"Bochas"
35;"Barritas"
36;"Vaina"
37;"Saquitos"
38;"Copa"
39;"Sobrecito"
40;"Presas"
41;"Ramito"
42;"Tallos"
